,姓名,性别,出生年份（年）,年龄（岁）,身高(cm),体重(kg),项目,省份,身价
148,尹成昕 ,女,1995年,23,168,58,花样游泳,湖北省,100000
149,杨珺 ,女,1988年,30,180,69,女子水球,北京市,100000
150,颜妮 ,女,1989年,29,192,72,排球,辽宁省,100000
151,余成刚 ,男,1984年,34,181,70,赛艇,四川省,100000
152,于洋 ,女,1986年,32,166,56,羽毛球,辽宁省,100000
153,易思玲 ,女,1989年,29,165,51,射击,湖南省  ,100000
154,叶诗文 ,女,1996年,22,172,64,游泳,浙江省,100000
155,易建联 ,男,1987年,31,213,113,篮球,广东省,100000
156,张继科 ,男,1988年,30,181,70,乒乓球,山东省  ,100000
157,朱仁学 ,男,1991年,27,181,70,田径,云南省  ,100000
158,张成龙 ,男,1989年,29,173,65,体操,山东省,100000
159,张航 ,男,1991年,27,180,70,田径,云南省  ,100000
160,张新艳 ,女,1994年,24,164,48,女子中长跑,甘肃省,100000
161,周鹏 ,男,1989年,29,206,90,篮球,辽宁省,100000
162,周玉 ,女,1989年,29,174,68,皮划艇静水,湖南省  ,100000
163,张文秀 ,女,1986年,32,182,113,女子链球,辽宁省,100000
164,张潀 ,女,1990年,28,176,65,水球,天津市,100000
165,张帅 ,女,1989年,29,177,65,网球,天津市,100000
166,赵子涵 ,女,1993年,25,173,63,排球,上海市,100000
167,赵玉雕 ,女,1989年,29,174,70,女子曲棍球,辽宁省,100000
168,朱启南 ,男,1984年,34,182,67,射击,浙江省,100000
169,张薇薇 ,女,1990年,28,183,64,女子水球,辽宁省,100000
170,张国伟 ,男,1991年,27,200,77,男子跳高,山东省  ,100000
171,张楠 ,男,1990年,28,183,75,羽毛球,北京市,100000
172,朱韦伟 ,女,1990年,28,180,72,赛艇,江苏省,100000
173,张培萌 ,男,1987年,31,186,86,田径,北京市,100000
174,赵芸蕾 ,女,1986年,32,173,62,羽毛球,湖北省,100000
175,周琦 ,男,1996年,22,217,95,篮球,河南省 ,100000
176,翟晓川 ,男,1993年,25,204,100,篮球,河北省 ,100000
177,赵继伟 ,男,1995年,23,185,77,篮球,辽宁省,100000
178,邹雨宸 ,男,1996年,22,208,108,篮球,辽宁省,100000
